MERCHANT,ACCT_STATUS_K_USD,CONTRACT_DURATION_MONTH,HISTORY,CREDIT_PROGRAM,AMOUNT_K_USD,ACCOUNT_TYPE,ACCT_AGE,STATE,IS_URBAN,IS_XBORDER,SELF_REPORTED_ASMT,CO_APPLICANT,GUARANTOR,PRESENT_RESIDENT,OWN_REAL_ESTATE,PROP_UNKN,ESTABLISHED_MONTH,OTHER_INSTALL_PLAN,RENT,OWN_RESIDENCE,NUMBER_CREDITS,RFM_SCORE,BRANCHES,TELEPHONE,SHIP_INTERNATIONAL,IS_DEFAULT
893,"0 USD",12,"CRITICAL ACCOUNT","NEW CAR",2171,"up to 100 K USD","1 to 4 YRS","NY","NO","YES","NO","NO","NO","4","NO","NO",38,"YES","NO","YES",2,2,1,"NO","YES","No"
894,"0 to 200 USD",36,"CRITICAL ACCOUNT","USED CAR",5800,"up to 100 K USD","1 to 4 YRS","CT","NO","YES","NO","NO","NO","4","NO","NO",34,"NO","NO","YES",2,3,1,"YES","NO","No"
895,"NONE",18,"CRITICAL ACCOUNT","ELECTRONICS",1169,"UNKNOWN/NONE","1 to 4 YRS","NY","NO","YES","NO","NO","NO","above 4 YRS","NO","NO",29,"NO","NO","YES",2,3,1,"YES","NO","No"
896,"NONE",36,"DELAY IN PAST","USED CAR",8947,"UNKNOWN/NONE","4 to 7 YRS","CT","NO","YES","NO","NO","NO","2 to 3 YRS","NO","NO",31,"YES","NO","YES",1,4,2,"YES","NO","No"
897,"0 USD",21,"EXISTING CREDITS PAID BACK","ELECTRONICS",2606,"up to 100 K USD","up to 1 YR","NY","NO","NO","NO","NO","NO","4","NO","NO",28,"NO","YES","NO",1,4,1,"YES","NO","No"
898,"NONE",12,"CRITICAL ACCOUNT","FURNITURE",1592,"above 1000 K USD","4 to 7 YRS","CT","NO","NO","NO","NO","NO","2 to 3 YRS","NO","NO",35,"NO","NO","YES",1,3,1,"NO","YES","No"
899,"NONE",15,"EXISTING CREDITS PAID BACK","FURNITURE",2186,"UNKNOWN/NONE","4 to 7 YRS","PA","NO","NO","NO","NO","NO","4","YES","NO",33,"YES","YES","NO",1,2,1,"NO","NO","No"
900,"0 USD",18,"EXISTING CREDITS PAID BACK","FURNITURE",4153,"up to 100 K USD","1 to 4 YRS","NJ","NO","YES","NO","YES","NO","above 4 YRS","NO","NO",42,"NO","NO","YES",1,3,1,"NO","NO","Yes"
901,"0 USD",16,"CRITICAL ACCOUNT","NEW CAR",2625,"up to 100 K USD","above 7 YRS","NJ","NO","YES","NO","NO","YES","4","NO","NO",43,"YES","YES","NO",1,3,1,"YES","NO","Yes"
902,"NONE",20,"CRITICAL ACCOUNT","NEW CAR",3485,"UNKNOWN/NONE","up to 1 YR","NJ","YES","NO","NO","NO","NO","4","YES","NO",44,"NO","NO","YES",2,3,1,"YES","NO","No"
903,"NONE",36,"CRITICAL ACCOUNT","USED CAR",10477,"UNKNOWN/NONE","above 7 YRS","NJ","NO","YES","NO","NO","NO","4","NO","YES",42,"NO","NO","NO",2,3,1,"NO","NO","No"
904,"NONE",15,"EXISTING CREDITS PAID BACK","ELECTRONICS",1386,"UNKNOWN/NONE","1 to 4 YRS","NY","NO","NO","YES","NO","NO","2 to 3 YRS","YES","NO",40,"NO","YES","NO",1,3,1,"YES","NO","No"
905,"NONE",24,"EXISTING CREDITS PAID BACK","ELECTRONICS",1278,"up to 100 K USD","above 7 YRS","NY","NO","YES","NO","NO","NO","1 to 2 YRS","YES","NO",36,"NO","NO","YES",1,4,1,"YES","NO","No"
906,"0 USD",12,"EXISTING CREDITS PAID BACK","ELECTRONICS",1107,"up to 100 K USD","1 to 4 YRS","NJ","NO","YES","NO","NO","NO","2 to 3 YRS","YES","NO",20,"NO","YES","NO",1,4,2,"YES","NO","No"
907,"0 USD",21,"EXISTING CREDITS PAID BACK","NEW CAR",3763,"UNKNOWN/NONE","4 to 7 YRS","NJ","NO","YES","NO","YES","NO","2 to 3 YRS","YES","NO",24,"NO","NO","YES",1,2,1,"NO","YES","No"
908,"0 to 200 USD",36,"EXISTING CREDITS PAID BACK","EDUCATION",3711,"UNKNOWN/NONE","1 to 4 YRS","NJ","NO","NO","YES","NO","NO","2 to 3 YRS","NO","NO",27,"NO","NO","YES",1,3,1,"NO","NO","No"
909,"NONE",15,"DELAY IN PAST","USED CAR",3594,"up to 100 K USD","up to 1 YR","PA","NO","NO","NO","NO","NO","2 to 3 YRS","NO","NO",46,"NO","NO","YES",2,2,1,"NO","NO","No"
910,"0 to 200 USD",9,"EXISTING CREDITS PAID BACK","NEW CAR",3195,"UNKNOWN/NONE","1 to 4 YRS","PA","NO","NO","NO","NO","NO","2 to 3 YRS","YES","NO",33,"NO","NO","YES",1,2,1,"NO","NO","No"
911,"NONE",36,"DELAY IN PAST","ELECTRONICS",4454,"up to 100 K USD","1 to 4 YRS","NY","NO","NO","NO","NO","NO","4","YES","NO",34,"NO","NO","YES",2,3,1,"NO","NO","No"
912,"0 to 200 USD",24,"CRITICAL ACCOUNT","FURNITURE",4736,"up to 100 K USD","up to 1 YR","NJ","NO","NO","NO","NO","NO","4","NO","NO",25,"YES","NO","YES",1,2,1,"NO","NO","Yes"
913,"0 to 200 USD",30,"EXISTING CREDITS PAID BACK","ELECTRONICS",2991,"UNKNOWN/NONE","above 7 YRS","NJ","NO","NO","NO","NO","NO","4","NO","NO",25,"NO","NO","YES",1,3,1,"NO","NO","No"
914,"NONE",11,"EXISTING CREDITS PAID BACK","RETRAINING",2142,"above 1000 K USD","above 7 YRS","PA","YES","NO","NO","NO","NO","2 to 3 YRS","YES","NO",28,"NO","NO","YES",1,3,1,"YES","NO","No"
915,"0 USD",24,"ALL CREDITS PAID BACK","RETRAINING",3161,"up to 100 K USD","1 to 4 YRS","NY","NO","YES","NO","NO","NO","2 to 3 YRS","NO","NO",31,"NO","YES","NO",1,3,1,"YES","NO","Yes"
916,"0 to 200 USD",48,"NONE TAKEN","OTHER",18424,"up to 100 K USD","1 to 4 YRS","PA","NO","NO","NO","NO","NO","2 to 3 YRS","NO","NO",32,"YES","NO","YES",1,4,1,"YES","YES","Yes"
917,"NONE",10,"EXISTING CREDITS PAID BACK","USED CAR",2848,"100 to 500 K USD","1 to 4 YRS","PA","NO","YES","NO","YES","NO","2 to 3 YRS","YES","NO",32,"NO","NO","YES",1,3,2,"NO","NO","No"
918,"0 USD",6,"EXISTING CREDITS PAID BACK","NEW CAR",14896,"up to 100 K USD","above 7 YRS","PA","NO","YES","NO","NO","NO","4","NO","YES",68,"YES","NO","YES",1,4,1,"YES","NO","Yes"
919,"0 USD",24,"EXISTING CREDITS PAID BACK","FURNITURE",2359,"100 to 500 K USD","TBD","PA","YES","NO","NO","NO","NO","1 to 2 YRS","NO","NO",33,"NO","NO","YES",1,3,1,"NO","NO","Yes"
920,"0 USD",24,"EXISTING CREDITS PAID BACK","FURNITURE",3345,"up to 100 K USD","above 7 YRS","NY","NO","YES","NO","NO","NO","2 to 3 YRS","NO","NO",39,"NO","YES","NO",1,4,1,"YES","NO","Yes"
921,"NONE",18,"CRITICAL ACCOUNT","FURNITURE",1817,"up to 100 K USD","1 to 4 YRS","NY","NO","NO","NO","NO","NO","2 to 3 YRS","NO","YES",28,"NO","NO","YES",2,3,1,"NO","NO","No"
922,"NONE",48,"DELAY IN PAST","ELECTRONICS",12749,"500 to 1000 K USD","4 to 7 YRS","NY","NO","YES","NO","NO","NO","1 to 2 YRS","NO","NO",37,"NO","NO","YES",1,4,1,"YES","NO","No"
923,"0 USD",9,"EXISTING CREDITS PAID BACK","ELECTRONICS",1366,"up to 100 K USD","up to 1 YR","CT","NO","NO","NO","NO","NO","4","NO","NO",22,"NO","YES","NO",1,3,1,"NO","NO","Yes"
924,"0 to 200 USD",12,"EXISTING CREDITS PAID BACK","NEW CAR",2002,"up to 100 K USD","4 to 7 YRS","CT","NO","YES","NO","NO","NO","4","NO","NO",30,"NO","YES","NO",1,3,2,"YES","NO","No"
925,"0 USD",24,"ALL CREDITS PAID BACK","FURNITURE",6872,"up to 100 K USD","up to 1 YR","NJ","YES","NO","NO","NO","NO","1 to 2 YRS","NO","NO",55,"YES","NO","YES",1,3,1,"YES","NO","Yes"
926,"0 USD",12,"ALL CREDITS PAID BACK","NEW CAR",697,"up to 100 K USD","up to 1 YR","NY","NO","YES","NO","NO","NO","2 to 3 YRS","NO","NO",46,"YES","NO","YES",2,3,1,"YES","NO","Yes"
927,"0 USD",18,"CRITICAL ACCOUNT","FURNITURE",1049,"up to 100 K USD","up to 1 YR","NY","NO","NO","NO","NO","NO","4","NO","NO",21,"NO","YES","NO",1,3,1,"NO","NO","No"
928,"0 USD",48,"EXISTING CREDITS PAID BACK","USED CAR",10297,"up to 100 K USD","4 to 7 YRS","NY","NO","YES","NO","NO","NO","4","NO","YES",39,"YES","NO","NO",3,3,2,"YES","NO","Yes"
929,"NONE",30,"EXISTING CREDITS PAID BACK","ELECTRONICS",1867,"UNKNOWN/NONE","above 7 YRS","NY","NO","YES","NO","NO","NO","4","NO","NO",58,"NO","NO","YES",1,3,1,"YES","NO","No"
930,"0 USD",12,"DELAY IN PAST","NEW CAR",1344,"up to 100 K USD","1 to 4 YRS","NY","NO","YES","NO","NO","NO","2 to 3 YRS","YES","NO",43,"NO","NO","YES",2,2,2,"NO","NO","No"
931,"0 USD",24,"EXISTING CREDITS PAID BACK","FURNITURE",1747,"up to 100 K USD","up to 1 YR","NY","NO","YES","NO","YES","NO","1 to 2 YRS","NO","NO",24,"NO","NO","YES",1,2,1,"NO","YES","No"
932,"0 to 200 USD",9,"EXISTING CREDITS PAID BACK","ELECTRONICS",1670,"up to 100 K USD","up to 1 YR","NY","NO","NO","NO","NO","NO","2 to 3 YRS","NO","NO",22,"NO","NO","YES",1,3,1,"YES","NO","Yes"
933,"NONE",9,"CRITICAL ACCOUNT","NEW CAR",1224,"up to 100 K USD","1 to 4 YRS","CT","NO","YES","NO","NO","NO","1 to 2 YRS","YES","NO",30,"NO","NO","YES",2,3,1,"NO","NO","No"
934,"NONE",12,"CRITICAL ACCOUNT","ELECTRONICS",522,"500 to 1000 K USD","above 7 YRS","NY","NO","YES","NO","NO","NO","4","NO","NO",42,"NO","NO","YES",2,3,2,"YES","NO","No"
935,"0 USD",12,"EXISTING CREDITS PAID BACK","ELECTRONICS",1498,"up to 100 K USD","1 to 4 YRS","NY","NO","NO","NO","NO","NO","1 to 2 YRS","NO","NO",23,"YES","NO","YES",1,3,1,"NO","NO","No"
